Num populations,Latest sim tim [s],Latest compile time [s],Latest registers per thread,Latest memory SOL [%],Latest compute SOL [%],"Latest ""no instruction"" stall cycles per instruction",GeNN 4.1.0 sim time [s],GeNN 4.1.0 compile time [s],GeNN 4.1.0 registers per thread,GeNN 4.1.0  memory SOL [%],GeNN 4.1.0 compute SOL [%],GeNN 4.1.0 instruction stall count
1,0.197807,3.883,26,86.99,5.69,0.19,0.195573,3.782,26,86.58,7.27,0.16
1,0.197805,3.835,26,86.84,5.67,0.19,0.195539,3.748,26,86.95,7.28,0.16
1,0.197822,3.91,26,87.1,5.7,0.19,0.195488,3.685,26,86.67,7.29,0.16
1,0.19782,3.888,26,86.86,5.69,0.19,0.19553,3.779,26,86.57,7.29,0.16
1,0.197836,4.02,26,86.91,5.71,0.19,0.195535,3.714,26,87.29,7.28,0.16
10,0.198611,4.035,32,86.97,7.46,0.16,0.19605,10.072,28,87.24,8.5,0.46
10,0.198612,3.943,32,86.88,7.44,0.16,0.196,10.001,28,86.85,8.46,0.46
10,0.198593,3.912,32,86.74,7.46,0.16,0.196015,10.036,28,86.75,8.51,0.46
10,0.198584,3.895,32,86.33,7.44,0.16,0.196041,9.991,28,87.05,8.52,0.45
10,0.198602,3.996,32,86.86,7.42,0.16,0.196025,9.974,28,87.25,8.49,0.46
50,0.199618,4.545,32,86.58,8.51,0.17,0.216132,87.459,28,55.66,17.05,9.43
50,0.199661,4.507,32,86.28,8.5,0.17,0.216275,87.301,28,54.8,16.63,9.42
50,0.199625,4.432,32,86.54,8.52,0.17,0.216154,87.57,28,54.28,16.87,9.58
50,0.199599,4.583,32,86.64,8.53,0.17,0.216486,87.568,28,55.47,16.58,9.64
50,0.199598,4.49,32,86.83,8.53,0.17,0.216004,87.282,28,54.83,17.16,9.56
100,0.198902,5.707,32,86.31,8.57,0.17,0.628763,310.126,28,26.06,15.31,25.88
100,0.198898,5.658,32,86.84,8.64,0.17,0.628626,305.256,28,25.93,15.35,26.11
100,0.198897,5.704,32,86.87,8.56,0.17,0.629007,305.265,28,26.1,15.3,25.9
100,0.198887,5.705,32,86.33,8.58,0.17,0.62856,303.286,28,25.99,15.3,26.07
100,0.198893,5.715,32,86.49,8.62,0.17,0.628702,305.257,28,26.18,15.44,25.99
200,0.199378,8.54,32,86.57,8.99,0.17,0.803205,1432.77,28,14.79,16.45,31.75
200,0.199319,8.423,32,86.62,8.95,0.17,0.80316,1454.89,28,14.27,16.56,31.66
200,0.199317,8.518,32,86.66,8.94,0.17,0.803185,1393.528,28,14.75,16.52,31.64
200,0.199313,8.514,32,86.32,8.97,0.17,0.803179,1385.006,28,14.25,16.57,31.63
200,0.199338,8.371,32,86.49,9.01,0.17,0.803228,1413.067,28,14.83,16.53,31.7
