Time [ms], Neuron ID
1,609
1,453
1,474
1,161
2,612
2,672
2,764
2,788
2,357
3,719
3,88
3,572
3,358
4,349
4,461
4,403
5,707
5,547
6,36
6,101
6,123
6,616
6,294
7,484
7,270
7,89
7,635
8,99
8,625
8,202
8,725
8,21
8,183
8,565
9,129
9,134
9,439
9,213
9,483
9,749
10,156
10,591
10,594
10,275
10,686
11,3
11,333
11,486
11,490
11,187
11,555
12,604
12,340
12,467
12,296
13,221
13,63
13,267
13,110
13,18
14,219
14,66
14,93
14,709
15,345
15,194
15,195
15,681
16,327
16,343
16,144
16,726
16,253
17,55
17,396
17,398
17,592
17,476
17,85
17,162
18,495
18,610
18,62
18,86
18,723
18,665
18,291
18,752
18,758
18,694
19,401
19,172
20,42
20,347
20,630
20,416
20,460
21,299
21,163
21,384
21,663
21,667
21,760
21,286
22,602
22,124
22,670
23,632
23,637
23,638
23,739
23,728
23,735
23,182
23,798
23,257
23,550
24,579
24,127
24,369
25,33
25,220
25,449
25,457
25,768
25,373
25,689
25,278
26,95
26,153
27,237
27,46
27,53
27,214
27,710
27,482
27,298
27,748
27,750
27,701
28,510
28,543
28,72
28,561
28,324
28,598
29,22
29,283
30,409
30,607
30,674
30,436
31,268
31,8
31,499
31,563
31,570
32,541
32,618
32,249
33,505
33,344
33,75
33,258
34,11
34,649
35,112
35,207
35,360
35,263
36,501
36,526
36,472
36,103
36,582
36,148
36,361
37,662
37,295
37,178
37,389
37,619
37,627
37,697
38,794
38,38
38,399
38,160
38,524
38,611
38,682
38,377
38,379
39,577
39,1
39,427
39,442
39,724
39,408
39,492
39,646
39,544
40,753
41,52
41,645
41,335
41,215
41,216
42,79
42,640
42,404
43,59
43,118
44,628
44,511
44,276
44,740
44,656
45,513
45,532
45,44
45,585
45,174
45,185
45,777
45,293
45,362
45,371
46,617
46,243
46,485
46,146
47,151
47,82
47,692
48,634
48,332
48,386
48,647
48,578
48,84
48,703
48,574
49,141
49,507
49,773
49,265
50,297
50,783
50,515
50,530
50,497
50,147
50,558
50,259
50,168
50,171
51,519
51,772
51,238
51,27
51,181
51,189
51,341
51,342
51,391
51,564
51,717
52,608
52,517
52,531
52,26
52,122
52,328
52,509
52,718
52,700
52,197
52,659
53,114
53,131
53,405
53,323
53,326
53,736
53,554
53,571
54,255
54,493
54,159
54,277
54,287
54,426
54,779
54,573
55,226
55,236
55,218
55,302
55,319
55,660
55,458
55,459
55,588
55,170
55,691
55,560
56,308
56,590
56,797
56,529
56,140
56,233
56,30
56,734
56,684
56,488
57,247
57,39
57,587
57,601
57,109
57,313
57,622
57,536
57,433
57,157
57,473
57,374
57,173
57,668
58,128
58,246
58,652
58,685
59,329
59,316
59,438
59,443
59,78
59,393
59,641
59,746
60,35
60,791
60,698
60,445
60,498
60,502
60,376
61,720
61,688
61,651
61,747
61,378
62,61
62,500
62,113
62,654
63,150
63,325
63,603
63,354
63,568
64,12
64,312
64,785
65,58
65,704
65,402
65,191
65,749
66,522
66,537
66,145
66,98
66,762
66,330
66,448
66,705
66,712
66,790
67,490
67,123
67,462
67,648
67,203
67,282
68,429
68,138
68,256
68,742
68,352
69,221
69,116
69,761
69,304
69,315
69,699
69,605
70,192
70,190
70,542
70,365
70,23
70,305
70,415
70,465
71,132
71,307
71,461
71,395
71,32
71,673
71,539
71,540
71,743
71,382
72,228
72,417
72,719
72,514
72,636
72,0
72,411
72,68
72,754
73,13
73,14
73,240
73,741
73,759
73,358
73,368
73,676
74,34
74,658
74,65
74,756
74,464
74,474
75,16
75,37
75,244
75,252
75,254
75,714
75,716
75,686
75,661
76,771
76,774
76,400
76,310
76,49
76,54
76,491
76,281
76,655
77,144
77,784
77,738
78,235
78,2
78,74
78,576
79,528
79,466
79,467
79,424
79,364
79,677
80,516
80,518
80,403
80,253
80,20
80,766
80,105
80,36
80,51
80,432
80,359
80,273
80,275
81,727
81,231
81,198
82,21
82,111
82,71
82,222
82,752
82,508
82,384
82,669
83,99
83,418
83,43
83,55
83,708
83,782
83,789
83,678
83,555
84,535
84,436
84,613
84,135
84,452
84,475
84,477
84,179
84,562
85,615
85,621
85,715
85,421
85,33
85,211
85,76
85,506
85,284
86,219
86,334
86,6
86,288
86,177
86,455
86,764
86,557
86,366
86,369
87,311
87,430
87,413
87,729
87,383
87,623
87,186
88,46
88,56
88,139
88,643
88,581
88,566
88,398
88,786
89,224
89,606
89,526
89,533
89,696
89,164
89,66
89,70
89,317
89,775
89,644
89,657
90,799
90,290
90,196
90,89
90,19
90,97
90,245
90,480
90,470
90,478
91,416
91,345
91,385
92,60
92,666
92,262
92,487
92,559
92,561
93,172
93,156
93,158
93,279
93,337
93,347
93,567
94,120
94,124
94,5
94,9
94,29
94,270
94,607
94,425
94,635
94,679
94,693
94,468
94,663
94,667
95,639
95,40
95,42
95,121
95,225
95,340
95,795
95,257
96,633
96,453
96,463
96,512
96,665
96,318
96,73
96,200
97,104
97,793
97,4
97,625
97,695
97,336
97,351
98,630
98,523
98,162
98,81
98,229
99,118
99,406
99,57
99,85
99,723
100,1
100,217
100,63
100,768
100,285
101,726
101,10
101,624
101,777
101,687
101,69
101,93
101,570
102,301
102,420
102,134
102,234
102,629
102,86
102,642
102,662
102,372
103,735
103,471
103,194
103,206
103,175
103,178
103,776
104,248
104,251
104,586
104,534
104,439
104,753
104,83
104,728
104,638
104,572
104,397
104,160
104,169
104,769
105,136
105,96
105,22
105,428
105,447
105,291
105,757
105,592
105,619
105,689
105,492
106,748
106,760
106,553
107,272
107,556
108,532
108,656
108,710
109,212
110,185
110,129
111,342
111,620
111,551
111,3
112,604
112,442
112,260
113,444
113,79
113,153
114,600
114,541
114,184
